user,Subject,text
Pamela_Wa,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
LaneZane1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Kevin_C_ONeil,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
ScoularHails,Donald Trump, Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…
TheRealDidiU,Donald Trump, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
BrettF02654736,Donald Trump,  Tell me again how M4A controlled completely by the Executive Branch (Donald Trump) is an improv… 
jainormis,Donald Trump, I think Donald trump now 🙄🔫🌽
OhioBeeBee,Donald Trump,"  I want my future son to grow up to be like Donald or Eric Trump, not Hunter Biden."
quiktrip10,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
pamelamarie2009,Donald Trump, Lil Wayne has been to prison. Donald Trump is headed there.
rei_c,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…"
nana13bug,Donald Trump,     The Russian government interfered in the 2016 U.S… 
FuzzyDunlop32,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
BellGwyneth1981,Donald Trump, Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters 
Kat_hy2019,Donald Trump, It’s 2:30 in the morning and Donald Trump is completely melting down right now 
kmctee,Donald Trump, An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T…
rcarey912,Donald Trump," Florida and already voted for the only choice, Donald J. Trump!!!!!"
Susan44489808,Donald Trump, Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …
WilliamMMcKee,Donald Trump," Donald Trump cancelled his racist pep rally in NC because of wind. Trump is terrified of wind, weather and women. 😂 🤣 😂"
Kenneth34900979,Donald Trump, Go vote for Mr Donald J Trump today
kelly_riedell,Donald Trump, NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
Re_mark_ab1e,Donald Trump, NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
IamLucyRicardo,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
leaciah,Donald Trump, Unraveling Lindsey Graham takes bizarre shot at Trump 
JBellSATX,Donald Trump, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
sighkey,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…"
Kenneth34900979,Donald Trump,Go vote for Mr Donald J Trump today
ddk112250,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
momma_dailey,Donald Trump," The Economist’s Zanny Minton Beddoes:“If we have another four years of Donald Trump, the America that the world has come to se…"
annita_bowman,Donald Trump, It’s 2:30 in the morning and Donald Trump is completely melting down right now 
bronsonTKO,Donald Trump, NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
eliosc,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
Ulianita08,Donald Trump,  Thanks to the incompetent Donald J. Trump:Over 23M Americans are on unemployment.Tens of thousands of sma…
ajserino,Donald Trump,"With COVID-19 raging out of control in Wisconsin, it has become imperative for voters to tell Donald Trump… "
cabcbg,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
pastorrob2020,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
RogerKnisely,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
RetroBaseNgames,Donald Trump," Golf legend Jack Nicklaus endorses Trump for re-election, calls him ""more diverse"" than any president he's seen  …"
mvmblackdogs_g,Donald Trump, America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…
Tikursewe,Donald Trump, Donald Trump promised he would:❌ Make Mexico pay for his wall❌ Announce a health care plan❌ Pass an infrastructure bill…
wxyzdetroit,Donald Trump," ""Failed RINO former Governor Rick Snyder of Michigan was a disaster with respect to the Flint Water CATASTROPHE, and a…"
